GPStime,peakFreq,snr,centralFreq,duration,bandwidth,id,ifo,label
1134827651.875,32.246,40.137,1601.119,7.25,3183.373047,LYD73IJEbP,H1,Scattered_Light
1134163932.125,29.897,38.256,2965.0679999999998,2.5,5894.235352000001,kQOi8X6807,H1,Scattered_Light
1134477579.438,29.636,32.589,41.479,2.313,47.056067999999996,wypbhS6TAa,H1,Scattered_Light
1134477772.875,31.943,29.462,2532.243,3.0,5035.515136999999,aKFWKfLE8l,H1,Scattered_Light
1137056147.125,32.552,28.537,1167.1480000000001,4.75,2324.383057,yWSM6mnbBM,H1,Scattered_Light
1133675730.375,32.246,28.531999999999996,3262.6620000000003,2.891,6512.085938,0Ted9bxWAG,H1,Scattered_Light
1136632453.125,28.787,26.787,2892.735,4.563,5744.004883,KR5wBCwo3N,H1,Scattered_Light
1136397868.431,137.711,26.1,1945.4560000000001,0.039,3760.898682,ysSzykoKTh,H1,Repeating_Blips
1133692575.938,30.711,25.48,51.401,2.5,58.312511,DXFHffdkZs,H1,Scattered_Light
1134176547.5939999,42.318999999999996,24.42,3909.75,3.5,7783.599609000001,dVnWAOHb6E,H1,Scattered_Light
1133468242.813,33.571999999999996,22.396,3593.6890000000003,4.25,7142.888672,q5HPukI1LE,H1,Scattered_Light
1131484776.625,28.248,21.406,3582.125,4.357,7131.470703,T8Envi8aOu,L1,Scattered_Light
1131313992.688,49.347,21.02,3979.958,6.912999999999999,7941.049805,GbssMXAjId,H1,Scattered_Light
1136397866.983,137.711,20.32,837.414,0.031,1569.9121089999999,Sukx8HHmQ5,H1,Repeating_Blips
1134156733.563,29.636,19.891,3979.958,6.649,7941.049805,vyb9h3Q3nx,H1,Scattered_Light
1136397867.563,111.12799999999999,19.714000000000002,1266.862,0.039,2449.060303,MBfssemDH0,H1,Repeating_Blips
1136994328.125,25.944000000000003,19.272000000000002,3464.991,5.25,6893.661620999999,K28hoHaYM8,H1,Scattered_Light
1136397867.165,111.12799999999999,19.171,837.414,0.039,1569.9121089999999,Fu5AEMAS17,H1,Repeating_Blips
1136632568.188,33.571999999999996,18.51,3979.047,7.625,7942.870605,ReJWHlOOsY,H1,Scattered_Light
1129802339.536,2025.31,17.973,1852.102,0.09,3585.6611329999996,m5TmbTuol2,H1,Violin_Mode
1131313943.688,45.321000000000005,17.762999999999998,3979.958,7.0,7941.049805,bZykNj8JeQ,H1,Scattered_Light
1132761539.625,25.7,17.706,2318.703,2.5,4601.504883,SgcCYb6Ieh,L1,Scattered_Light
1130482335.813,29.636,17.36,3981.732,6.875,7937.501953,uYH3v5lhLt,H1,Scattered_Light
1136397867.753,137.711,16.955,1031.46,0.023,1958.004639,D7KeZSiGQi,H1,Repeating_Blips
